[2020-08-06T09:35:55.284][1] 	7 milliseconds 
[2020-08-06T09:35:55.336][1] 	59 milliseconds 
[2020-08-06T09:35:55.388][1] 	111 milliseconds 
[2020-08-06T09:35:55.44][1] 	163 milliseconds 
[2020-08-06T09:35:55.492][1] 	49 milliseconds 
[2020-08-06T09:35:55.544][1] 	2 milliseconds 
[2020-08-06T09:35:55.596][1] 	54 milliseconds 
[2020-08-06T09:35:55.648][1] 	5 milliseconds 
[2020-08-06T09:35:55.7][1] 	57 milliseconds 
[2020-08-06T09:35:55.752][1] 	8 milliseconds 
[2020-08-06T09:35:55.804][1] 	60 milliseconds 
[2020-08-06T09:35:55.856][1] 	112 milliseconds 
[2020-08-06T09:35:55.908][1] 	164 milliseconds 
[2020-08-06T09:35:55.96][1] 	216 milliseconds 
[2020-08-06T09:35:56.012][1] 	268 milliseconds 
[2020-08-06T09:35:56.064][1] 	320 milliseconds 
[2020-08-06T09:35:56.116][1] 	372 milliseconds 
[2020-08-06T09:35:56.168][1] 	424 milliseconds 
[2020-08-06T09:35:56.22][1] 	476 milliseconds 
[2020-08-06T09:35:56.272][1] 	528 milliseconds 
[2020-08-06T09:35:56.324][1] 	580 milliseconds 
[2020-08-06T09:35:56.376][1] 	632 milliseconds 
[2020-08-06T09:35:56.428][1] 	684 milliseconds 
[2020-08-06T09:35:56.48][1] 	736 milliseconds 
[2020-08-06T09:35:56.532][1] 	788 milliseconds 
[2020-08-06T09:35:56.584][1] 	840 milliseconds 
[2020-08-06T09:35:56.636][1] 	892 milliseconds 
[2020-08-06T09:35:56.688][1] 	944 milliseconds 
[2020-08-06T09:35:56.74][1] 	996 milliseconds 
[2020-08-06T09:35:56.792][1] 	1048 milliseconds 
[2020-08-06T09:35:56.844][1] 	1100 milliseconds 
[2020-08-06T09:35:56.896][1] 	1152 milliseconds 
[2020-08-06T09:35:56.948][1] 	1204 milliseconds 
[2020-08-06T09:35:57][1] 	1256 milliseconds 
[2020-08-06T09:35:57.052][1] 	1308 milliseconds 
[2020-08-06T09:35:57.104][1] 	1360 milliseconds 
[2020-08-06T09:35:57.156][1] 	1412 milliseconds 
[2020-08-06T09:35:57.208][1] 	1464 milliseconds 
[2020-08-06T09:35:57.26][1] 	1516 milliseconds 
[2020-08-06T09:35:57.313][1] 	1568 milliseconds 
[2020-08-06T09:35:57.364][1] 	1620 milliseconds 
[2020-08-06T09:35:57.416][1] 	1672 milliseconds 
[2020-08-06T09:35:57.468][1] 	1724 milliseconds 
[2020-08-06T09:35:57.52][1] 	1776 milliseconds 
[2020-08-06T09:35:57.572][1] 	1828 milliseconds 
[2020-08-06T09:35:57.624][1] 	1880 milliseconds 
[2020-08-06T09:35:57.676][1] 	1932 milliseconds 
[2020-08-06T09:35:57.728][1] 	1984 milliseconds 
[2020-08-06T09:35:57.78][1] 	2036 milliseconds 
[2020-08-06T09:35:57.832][1] 	2088 milliseconds 
[2020-08-06T09:35:57.884][1] 	2140 milliseconds 
[2020-08-06T09:35:57.937][1] 	2193 milliseconds 
[2020-08-06T09:35:57.989][1] 	2245 milliseconds 
[2020-08-06T09:35:58.041][1] 	2297 milliseconds 
[2020-08-06T09:35:58.093][1] 	2349 milliseconds 
[2020-08-06T09:35:58.145][1] 	2401 milliseconds 
[2020-08-06T09:35:58.197][1] 	2453 milliseconds 
[2020-08-06T09:35:58.249][1] 	2505 milliseconds 
[2020-08-06T09:35:58.301][1] 	2557 milliseconds 
[2020-08-06T09:35:58.353][1] 	2609 milliseconds 
[2020-08-06T09:35:58.405][1] 	2661 milliseconds 
[2020-08-06T09:35:58.457][1] 	2713 milliseconds 
[2020-08-06T09:35:58.509][1] 	2765 milliseconds 
[2020-08-06T09:35:58.561][1] 	2817 milliseconds 
[2020-08-06T09:35:58.613][1] 	2869 milliseconds 
[2020-08-06T09:35:58.666][1] 	2922 milliseconds 
[2020-08-06T09:35:58.718][1] 	2974 milliseconds 
[2020-08-06T09:35:58.77][1] 	3026 milliseconds 
[2020-08-06T09:35:58.822][1] 	3078 milliseconds 
[2020-08-06T09:35:58.874][1] 	3130 milliseconds 
[2020-08-06T09:35:58.926][1] 	3182 milliseconds 
[2020-08-06T09:35:58.979][1] 	3235 milliseconds 
[2020-08-06T09:35:59.031][1] 	3287 milliseconds 
[2020-08-06T09:35:59.083][1] 	3339 milliseconds 
[2020-08-06T09:35:59.135][1] 	3391 milliseconds 
[2020-08-06T09:35:59.187][1] 	3443 milliseconds 
[2020-08-06T09:35:59.239][1] 	3495 milliseconds 
[2020-08-06T09:35:59.291][1] 	3547 milliseconds 
[2020-08-06T09:35:59.344][1] 	3600 milliseconds 
[2020-08-06T09:35:59.397][1] 	3653 milliseconds 
[2020-08-06T09:35:59.449][1] 	3705 milliseconds 
[2020-08-06T09:35:59.501][1] 	3757 milliseconds 
[2020-08-06T09:35:59.553][1] 	3809 milliseconds 
[2020-08-06T09:35:59.605][1] 	3861 milliseconds 
[2020-08-06T09:35:59.657][1] 	3913 milliseconds 
[2020-08-06T09:35:59.709][1] 	3965 milliseconds 
[2020-08-06T09:35:59.761][1] 	4017 milliseconds 
[2020-08-06T09:35:59.813][1] 	4069 milliseconds 
[2020-08-06T09:35:59.865][1] 	4121 milliseconds 
[2020-08-06T09:35:59.918][1] 	4174 milliseconds 
[2020-08-06T09:35:59.97][1] 	4226 milliseconds 
[2020-08-06T09:36:00.022][1] 	4278 milliseconds 
[2020-08-06T09:36:00.074][1] 	4330 milliseconds 
[2020-08-06T09:36:00.126][1] 	4382 milliseconds 
[2020-08-06T09:36:00.178][1] 	17 milliseconds 
[2020-08-06T09:36:00.23][1] 	69 milliseconds 
[2020-08-06T09:36:00.282][1] 	121 milliseconds 
[2020-08-06T09:36:00.334][1] 	173 milliseconds 
[2020-08-06T09:36:00.387][1] 	226 milliseconds 
[2020-08-06T09:36:00.439][1] 	278 milliseconds 
[2020-08-06T09:36:00.491][1] 	330 milliseconds 
[2020-08-06T09:36:00.543][1] 	382 milliseconds 
[2020-08-06T09:36:00.595][1] 	27 milliseconds 
[2020-08-06T09:36:00.647][1] 	79 milliseconds 
[2020-08-06T09:36:00.699][1] 	30 milliseconds 
[2020-08-06T09:36:00.751][1] 	82 milliseconds 
[2020-08-06T09:36:00.803][1] 	134 milliseconds 
[2020-08-06T09:36:00.855][1] 	186 milliseconds 
[2020-08-06T09:36:00.907][1] 	238 milliseconds 
[2020-08-06T09:36:00.959][1] 	290 milliseconds 
[2020-08-06T09:36:01.027][1] 	358 milliseconds 
[2020-08-06T09:36:01.086][1] 	416 milliseconds 
[2020-08-06T09:36:01.138][1] 	469 milliseconds 
[2020-08-06T09:36:01.19][1] 	521 milliseconds 
[2020-08-06T09:36:01.242][1] 	573 milliseconds 
[2020-08-06T09:36:01.295][1] 	626 milliseconds 
[2020-08-06T09:36:01.347][1] 	678 milliseconds 
[2020-08-06T09:36:01.399][1] 	730 milliseconds 
[2020-08-06T09:36:01.452][1] 	783 milliseconds 
[2020-08-06T09:36:01.504][1] 	835 milliseconds 
[2020-08-06T09:36:01.559][1] 	890 milliseconds 
[2020-08-06T09:36:01.612][1] 	942 milliseconds 
[2020-08-06T09:36:01.664][1] 	995 milliseconds 
[2020-08-06T09:36:01.716][1] 	1047 milliseconds 
[2020-08-06T09:36:01.77][1] 	27 milliseconds 
[2020-08-06T09:36:01.825][1] 	81 milliseconds 
[2020-08-06T09:36:01.878][1] 	135 milliseconds 
[2020-08-06T09:36:01.931][1] 	187 milliseconds 
[2020-08-06T09:36:02.001][1] 	258 milliseconds 
[2020-08-06T09:36:02.054][1] 	311 milliseconds 
[2020-08-06T09:36:02.109][1] 	41 milliseconds 
[2020-08-06T09:36:02.163][1] 	95 milliseconds 
[2020-08-06T09:36:02.216][1] 	44 milliseconds 
[2020-08-06T09:36:02.269][1] 	96 milliseconds 
[2020-08-06T09:36:02.323][1] 	151 milliseconds 
[2020-08-06T09:36:02.375][1] 	19 milliseconds 
