[2020-08-06T10:08:55.545][1] 	77 milliseconds 
[2020-08-06T10:08:55.597][1] 	29 milliseconds 
[2020-08-06T10:08:55.649][1] 	81 milliseconds 
[2020-08-06T10:08:55.701][1] 	133 milliseconds 
[2020-08-06T10:08:55.753][1] 	49 milliseconds 
[2020-08-06T10:08:55.806][1] 	101 milliseconds 
[2020-08-06T10:08:55.858][1] 	28 milliseconds 
[2020-08-06T10:08:55.913][1] 	84 milliseconds 
[2020-08-06T10:08:55.965][1] 	33 milliseconds 
[2020-08-06T10:08:56.018][1] 	86 milliseconds 
[2020-08-06T10:08:56.07][1] 	37 milliseconds 
[2020-08-06T10:08:56.122][1] 	89 milliseconds 
[2020-08-06T10:08:56.174][1] 	141 milliseconds 
[2020-08-06T10:08:56.226][1] 	193 milliseconds 
[2020-08-06T10:08:56.278][1] 	24 milliseconds 
[2020-08-06T10:08:56.33][1] 	76 milliseconds 
[2020-08-06T10:08:56.382][1] 	27 milliseconds 
[2020-08-06T10:08:56.434][1] 	79 milliseconds 
[2020-08-06T10:08:56.486][1] 	31 milliseconds 
[2020-08-06T10:08:56.538][1] 	83 milliseconds 
[2020-08-06T10:08:56.59][1] 	33 milliseconds 
[2020-08-06T10:08:56.642][1] 	85 milliseconds 
[2020-08-06T10:08:56.694][1] 	37 milliseconds 
[2020-08-06T10:08:56.746][1] 	89 milliseconds 
[2020-08-06T10:08:56.798][1] 	40 milliseconds 
[2020-08-06T10:08:56.85][1] 	92 milliseconds 
[2020-08-06T10:08:56.902][1] 	43 milliseconds 
[2020-08-06T10:08:56.954][1] 	95 milliseconds 
[2020-08-06T10:08:57.006][1] 	147 milliseconds 
[2020-08-06T10:08:57.059][1] 	200 milliseconds 
[2020-08-06T10:08:57.111][1] 	252 milliseconds 
[2020-08-06T10:08:57.163][1] 	304 milliseconds 
[2020-08-06T10:08:57.215][1] 	356 milliseconds 
[2020-08-06T10:08:57.267][1] 	408 milliseconds 
[2020-08-06T10:08:57.319][1] 	459 milliseconds 
[2020-08-06T10:08:57.371][1] 	512 milliseconds 
[2020-08-06T10:08:57.423][1] 	563 milliseconds 
[2020-08-06T10:08:57.474][1] 	615 milliseconds 
[2020-08-06T10:08:57.526][1] 	667 milliseconds 
[2020-08-06T10:08:57.579][1] 	719 milliseconds 
[2020-08-06T10:08:57.63][1] 	41 milliseconds 
[2020-08-06T10:08:57.683][1] 	94 milliseconds 
[2020-08-06T10:08:57.735][1] 	45 milliseconds 
[2020-08-06T10:08:57.787][1] 	97 milliseconds 
[2020-08-06T10:08:57.839][1] 	149 milliseconds 
[2020-08-06T10:08:57.891][1] 	201 milliseconds 
[2020-08-06T10:08:57.943][1] 	253 milliseconds 
[2020-08-06T10:08:57.995][1] 	305 milliseconds 
[2020-08-06T10:08:58.047][1] 	357 milliseconds 
[2020-08-06T10:08:58.099][1] 	43 milliseconds 
[2020-08-06T10:08:58.151][1] 	95 milliseconds 
[2020-08-06T10:08:58.203][1] 	30 milliseconds 
[2020-08-06T10:08:58.255][1] 	82 milliseconds 
[2020-08-06T10:08:58.308][1] 	135 milliseconds 
[2020-08-06T10:08:58.36][1] 	187 milliseconds 
[2020-08-06T10:08:58.412][1] 	12 milliseconds 
[2020-08-06T10:08:58.464][1] 	64 milliseconds 
[2020-08-06T10:08:58.516][1] 	16 milliseconds 
[2020-08-06T10:08:58.569][1] 	69 milliseconds 
[2020-08-06T10:08:58.622][1] 	122 milliseconds 
[2020-08-06T10:08:58.674][1] 	30 milliseconds 
[2020-08-06T10:08:58.726][1] 	82 milliseconds 
[2020-08-06T10:08:58.778][1] 	1 millisecond 
[2020-08-06T10:08:58.83][1] 	53 milliseconds 
[2020-08-06T10:08:58.882][1] 	105 milliseconds 
[2020-08-06T10:08:58.934][1] 	157 milliseconds 
[2020-08-06T10:08:58.986][1] 	209 milliseconds 
[2020-08-06T10:08:59.038][1] 	23 milliseconds 
[2020-08-06T10:08:59.09][1] 	75 milliseconds 
[2020-08-06T10:08:59.142][1] 	50 milliseconds 
[2020-08-06T10:08:59.3][1] 	7 milliseconds 
[2020-08-06T10:08:59.352][1] 	59 milliseconds 
[2020-08-06T10:08:59.404][1] 	10 milliseconds 
[2020-08-06T10:08:59.456][1] 	62 milliseconds 
[2020-08-06T10:08:59.508][1] 	14 milliseconds 
[2020-08-06T10:08:59.56][1] 	66 milliseconds 
[2020-08-06T10:08:59.611][1] 	17 milliseconds 
[2020-08-06T10:08:59.664][1] 	69 milliseconds 
[2020-08-06T10:08:59.716][1] 	121 milliseconds 
[2020-08-06T10:08:59.768][1] 	174 milliseconds 
[2020-08-06T10:08:59.82][1] 	18 milliseconds 
[2020-08-06T10:08:59.871][1] 	70 milliseconds 
[2020-08-06T10:08:59.923][1] 	18 milliseconds 
[2020-08-06T10:08:59.975][1] 	70 milliseconds 
