time,symbol,side,,q,p,t,fee,
2020-07-31T09:21:15.282,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:15.285,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:15.494,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010386,FILLED
2020-07-31T09:21:15.542,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:15.584,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:15.591,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:15.594,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:15.593,LTCBNB,BUY,MARKET,0.039,2.773,0.108147,8.101E-05,FILLED
2020-07-31T09:21:20.438,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:20.477,BNBBTC,BUY,MARKET,0.1,0.0018431,0.00018431,7.5E-05,FILLED
2020-07-31T09:21:20.522,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010386,FILLED
2020-07-31T09:21:20.571,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:21.953,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:21.956,LTCBNB,BUY,MARKET,0.05,2.771,0.13855,0.00010386,FILLED
2020-07-31T09:21:21.956,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:21.955,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:21.96,LTCBNB,BUY,MARKET,0.05,2.771,0.13855,0.00010386,FILLED
2020-07-31T09:21:22.256,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:22.308,LTCBNB,BUY,MARKET,0.05,2.771,0.13855,0.00010386,FILLED
2020-07-31T09:21:22.32,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:22.325,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:22.325,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:22.327,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:22.632,LTCBNB,BUY,MARKET,0.05,2.771,0.13855,0.00010386,FILLED
2020-07-31T09:21:22.632,LTCBNB,BUY,MARKET,0.05,2.771,0.13855,0.00010386,FILLED
2020-07-31T09:21:22.936,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:22.94,LTCBTC,SELL,MARKET,0.05,0.005102,0.0002551,0.00010579,FILLED
2020-07-31T09:21:22.952,BNBBTC,BUY,MARKET,0.12,0.0018431,0.000221172,9E-05,FILLED
2020-07-31T09:21:32.541,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:32.805,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010386,FILLED
2020-07-31T09:21:32.844,LTCBTC,SELL,MARKET,0.05,0.005103,0.00025515,0.00010579,FILLED
2020-07-31T09:21:32.854,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:33.117,LTCBNB,BUY,MARKET,0.05,2.773,0.13865,0.00010386,FILLED
2020-07-31T09:21:33.156,LTCBTC,SELL,MARKET,0.05,0.005103,0.00025515,0.00010579,FILLED
2020-07-31T09:21:33.185,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:33.799,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:33.804,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010386,FILLED
2020-07-31T09:21:34.08,LTCBTC,SELL,MARKET,0.05,0.005103,0.00025515,0.00010579,FILLED
2020-07-31T09:21:34.108,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:34.113,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010386,FILLED
2020-07-31T09:21:34.283,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010386,FILLED
2020-07-31T09:21:34.391,LTCBTC,SELL,MARKET,0.05,0.005103,0.00025515,0.00010579,FILLED
2020-07-31T09:21:34.421,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:21:34.427,LTCBNB,BUY,MARKET,0.05,2.772,0.1386,0.00010386,FILLED
2020-07-31T09:21:42.471,LTCBTC,SELL,MARKET,0.05,0.005103,0.00025515,0.00010579,FILLED
2020-07-31T09:21:42.485,BNBBTC,BUY,MARKET,0.12,0.0018435,0.00022122,9E-05,FILLED
2020-07-31T09:28:00.713,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:00.749,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:28:01.238,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:28:01.303,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:01.364,BNBBTC,BUY,MARKET,0.12,0.001845,0.0002214,9E-05,FILLED
2020-07-31T09:28:01.444,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:28:01.493,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:01.821,BNBBTC,BUY,MARKET,0.12,0.001845,0.0002214,9E-05,FILLED
2020-07-31T09:28:01.896,BNBBTC,BUY,MARKET,0.12,0.001845,0.0002214,9E-05,FILLED
2020-07-31T09:28:02.997,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:28:03.525,LTCBTC,SELL,MARKET,0.05,0.00511,0.0002555,0.00010574,FILLED
2020-07-31T09:28:04.866,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:28:04.883,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:05.06,BNBBTC,BUY,MARKET,0.12,0.0018448,0.000221376,9E-05,FILLED
2020-07-31T09:28:06.488,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:28:06.563,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:06.638,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:28:07.407,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:28:07.439,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:28:07.651,BNBBTC,BUY,MARKET,0.12,0.0018452,0.000221424,9E-05,FILLED
2020-07-31T09:28:07.925,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
